FullName,ClubName,AgeGroup,Position,FIFARating,MinutesPlayed,GAContribution,FantasyScore,MarketValue,TransferStatus
Giulian Biancone,Nottingham Forest,22-25,Defender,70,15,0,1,8000000,Transferred
Jack Stephens,AFC Bournemouth,26-29,Defender,74,1218,0,2.1,8000000,Transferred
Jonjo Shelvey,Newcastle United,30 and above,Midfielder,77,573,0,1.5,8000000,Transferred
Jordan Henderson,Liverpool,30 and above,Midfielder,83,2060,3,2,8000000,Transferred
Lewis O'Brien,Nottingham Forest,22-25,Midfielder,73,578,1,1.7,8000000,Transferred
Morgan Sanson,Aston Villa,26-29,Midfielder,76,10,0,1,8000000,Transferred
Nathaniel Phillips,Liverpool,22-25,Defender,73,65,0,1.5,8000000,Transferred
Mads Roerslev,Brentford,22-25,Defender,69,1101,0,2.4,8000000,Retained
Pascal Gro,Brighton & Hove Albion,30 and above,Midfielder,77,3240,17,4.3,8000000,Retained
Stuart Armstrong,Southampton,30 and above,Midfielder,76,1391,4,1.8,8000000,Retained
Tyler Roberts,Wolverhampton Wanderers,21 and under,Midfielder,55,0,0,0,8000000,Retained
Séamus Coleman,Everton,30 and above,Defender,76,1654,1,2.7,7000000,Retained
Allan Marques Loureiro,Everton,30 and above,Midfielder,80,0,0,0,7000000,Retained
Ben Mee,Brentford,30 and above,Defender,78,3269,5,3.9,7000000,Retained
Bobby Decordova-Reid,Fulham,26-29,Midfielder,74,2473,5,2.5,7000000,Retained
Juan Larios Lpez,Southampton,21 and under,Defender,59,150,0,0.8,7000000,Retained
Jonny Evans,Leicester City,30 and above,Defender,79,1051,0,1.5,7000000,Transferred
Kevin Mbabu,Fulham,26-29,Defender,77,141,1,1.2,7000000,Transferred
Omar Richards,Nottingham Forest,22-25,Defender,73,0,0,0,7000000,Transferred
Teden Mengi,Manchester United,21 and under,Defender,67,0,0,0,7000000,Transferred
Liam Cooper,Leeds United,30 and above,Defender,76,1425,1,1.7,7000000,Retained
Pontus Jansson,Brentford,30 and above,Defender,75,722,1,2.4,7000000,Retained
Samuel Edozie,Southampton,21 and under,Midfielder,62,554,0,1.4,7000000,Retained
Shane Duffy,Fulham,30 and above,Defender,74,17,0,0.8,7000000,Retained
Steve Cook,Nottingham Forest,30 and above,Defender,72,956,0,1.7,7000000,Retained
Marek Rodák,Fulham,22-25,Goalkeeper,75,180,0,3.5,6000000,Retained
Aaron Cresswell,West Ham United,30 and above,Defender,78,2235,1,2.6,6000000,Retained
Alex McCarthy,Southampton,30 and above,Goalkeeper,75,540,0,1.3,6000000,Retained
Carlos Vincius Alves Morais,Fulham,26-29,Forward,76,1098,7,2.6,6000000,Retained
Josh Onomah,Fulham,22-25,Midfielder,69,14,0,1,6000000,Retained
Boubacar Traoré,Wolverhampton Wanderers,21 and under,Midfielder,64,405,1,1.4,6000000,Transferred
Deniz Undav,Brighton & Hove Albion,22-25,Forward,77,614,7,2.4,6000000,Transferred
Martin Dbravka,Manchester United,30 and above,Goalkeeper,80,156,0,5.5,6000000,Retained
Salomn Rondn,Everton,30 and above,Forward,74,103,0,1,6000000,Retained
Theo Walcott,Southampton,30 and above,Midfielder,72,1123,4,2.5,6000000,Retained
Sam Surridge,Nottingham Forest,22-25,Forward,71,306,1,1.3,5500000,Retained
Frédéric Guilbert,Aston Villa,26-29,Defender,78,0,0,0,5000000,Retained
Craig Dawson,West Ham United,30 and above,Defender,78,2134,2,3,5000000,Retained
Emil Krafth,Newcastle United,26-29,Defender,74,1,0,1,5000000,Retained
Harry Toffolo,Nottingham Forest,26-29,Defender,72,933,0,1.6,5000000,Retained
Calvin Ramsay,Liverpool,21 and under,Midfielder,64,0,0,0,5000000,Transferred
Daniel Iversen,Leicester City,22-25,Goalkeeper,73,1080,0,2.4,5000000,Transferred
Jeremy Sarmiento,Brighton & Hove Albion,21 and under,Midfielder,66,168,2,1.8,5000000,Transferred
Kieffer Moore,AFC Bournemouth,26-29,Forward,73,1269,4,2.1,5000000,Transferred
Lyanco Neves Vojnovic,Southampton,22-25,Defender,72,1173,2,1.4,5000000,Retained
Nathaniel Chalobah,Fulham,26-29,Midfielder,73,11,0,0.2,5000000,Retained
Phil Jones,Manchester United,30 and above,Defender,73,0,0,0,5000000,Retained
